country,region,happiness_rank,happiness_score,year
Australia,Australia and New Zealand,10,7.284,2015
Australia,Australia and New Zealand,9,7.313,2016
Australia,Australia and New Zealand,10,7.28399991989136,2017
Australia,Australia and New Zealand,10,7.272,2018
Australia,Australia and New Zealand,11,7.228,2019
Australia,Australia and New Zealand,11,7.222799778,2020
New Zealand,Australia and New Zealand,9,7.2860000000000005,2015
New Zealand,Australia and New Zealand,8,7.334,2016
New Zealand,Australia and New Zealand,8,7.31400012969971,2017
New Zealand,Australia and New Zealand,8,7.324,2018
New Zealand,Australia and New Zealand,8,7.307,2019
New Zealand,Australia and New Zealand,7,7.2996001239999995,2020
Albania,Central and Eastern Europe,95,4.959,2015
Albania,Central and Eastern Europe,109,4.655,2016
Albania,Central and Eastern Europe,109,4.64400005340576,2017
Albania,Central and Eastern Europe,112,4.586,2018
Albania,Central and Eastern Europe,107,4.718999999999999,2019
Albania,Central and Eastern Europe,104,4.882699966000001,2020
Armenia,Central and Eastern Europe,127,4.35,2015
Armenia,Central and Eastern Europe,121,4.36,2016
Armenia,Central and Eastern Europe,121,4.37599992752075,2017
Armenia,Central and Eastern Europe,129,4.321000000000001,2018
Armenia,Central and Eastern Europe,116,4.559,2019
Armenia,Central and Eastern Europe,115,4.676799774,2020
Azerbaijan,Central and Eastern Europe,80,5.212000000000001,2015
Azerbaijan,Central and Eastern Europe,81,5.291,2016
Azerbaijan,Central and Eastern Europe,85,5.234000205993651,2017
Azerbaijan,Central and Eastern Europe,87,5.2010000000000005,2018
Azerbaijan,Central and Eastern Europe,90,5.207999999999999,2019
Azerbaijan,Central and Eastern Europe,88,5.164800167,2020
Belarus,Central and Eastern Europe,59,5.813,2015
Belarus,Central and Eastern Europe,61,5.8020000000000005,2016
Belarus,Central and Eastern Europe,67,5.5689997673034695,2017
Belarus,Central and Eastern Europe,73,5.483,2018
Belarus,Central and Eastern Europe,81,5.3229999999999995,2019
Belarus,Central and Eastern Europe,74,5.539899826,2020
Bosnia and Herzegovina,Central and Eastern Europe,96,4.949,2015
Bosnia and Herzegovina,Central and Eastern Europe,87,5.162999999999999,2016
Bosnia and Herzegovina,Central and Eastern Europe,90,5.18200016021729,2017
Bosnia and Herzegovina,Central and Eastern Europe,93,5.129,2018
Bosnia and Herzegovina,Central and Eastern Europe,78,5.386,2019
