Year,US_State,Residential Price
2019,AK,22.92
2019,AL,12.53
2019,AR,9.8
2019,AZ,12.43
2019,CA,19.15
2019,CO,12.18
2019,CT,21.87
2019,DC,12.98
2019,DE,12.55
2019,FL,11.7
2019,GA,11.76
2019,HI,32.06
2019,IA,12.46
2019,ID,9.89
2019,IL,13.03
2019,IN,12.58
2019,KS,12.71
2019,KY,10.8
2019,LA,9.8
2019,MA,21.92
2019,MD,13.12
2019,ME,17.89
2019,MI,15.74
2019,MN,13.04
2019,MO,11.14
2019,MS,11.27
2019,MT,11.13
2019,NC,11.42
2019,ND,10.3
2019,NE,10.77
2019,NH,20.05
2019,NJ,15.85
2019,NM,12.51
2019,NV,12
2019,NY,17.94
2019,OH,12.38
2019,OK,10.21
2019,OR,11.01
2019,PA,13.8
2019,RI,21.73
2019,SC,12.99
2019,SD,11.55
2019,TN,10.87
2019,TX,11.76
2019,UT,10.4
2019,VA,12.07
2019,VT,17.71
2019,WA,9.71
2019,WI,14.18
2019,WV,11.25
2019,WY,11.18
2018,AK,21.94
2018,AL,12.18
2018,AR,9.81
2018,AZ,12.77
2018,CA,18.84
2018,CO,12.15
2018,CT,21.2
2018,DC,12.84
2018,DE,12.53
2018,FL,11.54
2018,GA,11.47
2018,HI,32.47
2018,IA,12.24
2018,ID,10.15
2018,IL,12.77
2018,IN,12.26
2018,KS,13.35
2018,KY,10.6
2018,LA,9.59
2018,MA,21.61
2018,MD,13.3
2018,ME,16.84
2018,MI,15.45
2018,MN,13.14
2018,MO,11.34
2018,MS,11.12
2018,MT,10.96
2018,NC,11.09
2018,ND,10.25
2018,NE,10.7
2018,NH,19.69
2018,NJ,15.41
2018,NM,12.68
2018,NV,11.85
2018,NY,18.52
2018,OH,12.56
2018,OK,10.3
2018,OR,10.98
2018,PA,13.89
2018,RI,20.55
2018,SC,12.44
2018,SD,11.59
2018,TN,10.71
2018,TX,11.2
2018,UT,10.41
2018,VA,11.73
2018,VT,18.02
2018,WA,9.75
2018,WI,14.02
2018,WV,11.18
2018,WY,11.29
2017,AK,21.27
2017,AL,12.55
2017,AR,10.28
2017,AZ,12.44
2017,CA,18.31
2017,CO,12.17
2017,CT,20.29
2017,DC,12.94
2017,DE,13.35
2017,FL,11.61
2017,GA,11.9
2017,HI,29.5
2017,IA,12.34
2017,ID,10.04
2017,IL,12.95
2017,IN,12.29
2017,KS,13.31
2017,KY,10.85
2017,LA,9.74
2017,MA,20.06
2017,MD,13.96
2017,ME,15.97
2017,MI,15.4
2017,MN,13.04
2017,MO,11.63
2017,MS,11.08
2017,MT,10.95
2017,NC,10.94
2017,ND,10.29
2017,NE,10.97
2017,NH,19.2
2017,NJ,15.65
2017,NM,12.88
2017,NV,11.99
2017,NY,18.03
2017,OH,12.63
2017,OK,10.61
2017,OR,10.66
2017,PA,14.23
2017,RI,18.32
2017,SC,13.02
2017,SD,11.77
2017,TN,10.72
2017,TX,11.01
2017,UT,10.95
2017,VA,11.55
2017,VT,17.68
2017,WA,9.66
2017,WI,14.35
2017,WV,11.63
2017,WY,11.37
2016,AK,20.3
2016,AL,11.99
2016,AR,9.92
2016,AZ,12.15
2016,CA,17.39
2016,CO,12.07
2016,CT,20.01
2016,DC,12.29
2016,DE,13.42
2016,FL,10.98
2016,GA,11.5
2016,HI,27.47
2016,IA,11.94
2016,ID,9.95
2016,IL,12.54
2016,IN,11.79
2016,KS,13.06
2016,KY,10.49
2016,LA,9.34
2016,MA,19
2016,MD,14.23
2016,ME,15.83
2016,MI,15.22
2016,MN,12.67
2016,MO,11.21
2016,MS,10.47
2016,MT,10.94
2016,NC,11.03
2016,ND,10.16
2016,NE,10.84
2016,NH,18.38
2016,NJ,15.72
2016,NM,12.03
2016,NV,11.41
2016,NY,17.58
2016,OH,12.47
2016,OK,10.2
2016,OR,10.66
2016,PA,13.86
2016,RI,18.62
2016,SC,12.65
2016,SD,11.47
2016,TN,10.41
2016,TX,10.99
2016,UT,11.02
2016,VA,11.36
2016,VT,17.37
2016,WA,9.48
2016,WI,14.07
2016,WV,11.44
2016,WY,11.13
2015,AK,19.83
